id,name,primary_repo_url,country,category,repo_richness,panel_feasibility,rationalization_event_visibility,external_metadata_availability,contactability_score,causal_interpretability,heterogeneity_value,weighted_score,priority_tier,flag
11,PostHog,https://github.com/PostHog/posthog,UK,Startup,5,5,5,5,5,5,3,4.90,A,None
3,Infisical,https://github.com/Infisical/infisical,USA,Startup,5,5,5,5,5,5,2,4.85,A,None
31,Dagger,https://github.com/dagger/dagger,USA,Company-backed OSS,5,5,5,5,5,5,2,4.85,A,None
4,Trigger.dev,https://github.com/triggerdotdev/trigger.dev,Ireland,Startup,4,5,5,5,5,5,4,4.75,A,Flag: Ireland HQ
38,Appwrite,https://github.com/appwrite/appwrite,Israel,Startup,5,4,5,5,5,5,3,4.65,A,Flag: Israel HQ
36,Airbyte,https://github.com/airbytehq/airbyte,USA,Company-backed OSS,5,4,5,5,5,5,2,4.60,A,None
14,Zed Industries,https://github.com/zed-industries/zed,USA,Startup,5,4,5,5,5,5,2,4.60,A,Flag: pre-2024 history absent
33,Weaviate,https://github.com/weaviate/weaviate,Netherlands,Company-backed OSS,4,4,5,5,5,5,4,4.50,A,None
32,Astral (ruff/uv),https://github.com/astral-sh/ruff,USA,Company-backed OSS,4,4,5,5,5,5,3,4.45,A,Flag: OpenAI acquisition ~2025
27,LedgerHQ (ledger-live),https://github.com/LedgerHQ/ledger-live,France,Startup,5,5,5,4,3,4,3,4.55,A,Flag: crypto domain
7,Novu,https://github.com/novuhq/novu,Israel,Startup,4,4,5,4,5,5,3,4.35,A,Flag: Israel HQ
40,pass-culture,https://github.com/pass-culture/pass-culture-main,France,Gov-tech,5,5,5,4,3,3,4,4.45,A,Flag: quasi-public
1,Langfuse,https://github.com/langfuse/langfuse,Germany,Startup,4,4,3,5,5,5,4,4.10,A,None
34,Milvus/Zilliz,https://github.com/milvus-io/milvus,"USA/China",Company-backed OSS,5,4,5,4,3,3,3,4.15,B,Flag: CNCF governance
39,Bun/oven-sh,https://github.com/oven-sh/bun,USA,Company-backed OSS,4,4,5,4,3,4,2,4.05,B,Note: identification concerns
12,Cal.com,https://github.com/calcom/cal.com,USA,Startup,4,4,3,5,5,5,2,4.00,B,Flag: partial closed-source 2025
15,Inngest,https://github.com/inngest/inngest,USA,Startup,3,3,5,5,5,5,2,3.95,B,None
37,Turso,https://github.com/tursodatabase/libsql,USA,Startup,3,3,5,4,5,5,4,3.95,B,None
8,Plane,https://github.com/makeplane/plane,"India/USA",Startup,3,4,5,4,3,4,4,3.95,B,Flag: India ops
35,Qdrant,https://github.com/qdrant/qdrant,Germany,Startup,4,3,3,4,5,5,3,3.70,B,None
6,Windmill,https://github.com/windmill-labs/windmill,France,Startup,4,4,3,4,3,4,3,3.70,B,"Flag: France HQ; small team"
5,Dub.co,https://github.com/dubinc/dub,USA,Startup,4,3,2,5,5,5,2,3.55,B,None
18,Maybe Finance,https://github.com/maybe-finance/maybe,USA,Startup,3,3,5,3,3,3,4,3.45,B,Flag: original team dissolved
2,Helicone,https://github.com/Helicone/helicone,USA,Startup,3,3,2,4,5,5,2,3.25,B,None
13,Chatwoot,https://github.com/chatwoot/chatwoot,"India/USA",Startup,4,3,2,4,3,5,3,3.40,B,Flag: India ops
16,Hoppscotch,https://github.com/hoppscotch/hoppscotch,India,Startup,4,3,2,3,3,4,4,3.20,C,"Flag: India HQ; community-driven"
9,Documenso,https://github.com/documenso/documenso,"Germany/USA",Startup,3,3,2,3,5,5,3,3.20,C,None
25,Decidim,https://github.com/decidim/decidim,Spain,Civic-tech,3,3,3,3,3,3,5,3.10,C,"Flag: civic-tech; non-startup"
23,ma-cantine,https://github.com/betagouv/ma-cantine,France,Gov-tech,3,4,2,3,3,3,4,3.10,C,Flag: gov-tech
21,mon-entreprise,https://github.com/betagouv/mon-entreprise,France,Gov-tech,3,3,3,3,3,3,4,3.05,C,Flag: gov-tech
10,Formbricks,https://github.com/formbricks/formbricks,Germany,Startup,2,3,2,3,5,5,3,3.00,C,"Flag: Germany; early-stage"
22,rdv-service-public,https://github.com/betagouv/rdv-service-public,France,Gov-tech,3,3,2,3,3,3,3,2.80,C,Flag: gov-tech
